"country_of_residence","cor_iso3","country_of_origin","coo_iso3","election_date","election_type","registered_voters","total_votes","valid_votes","valid_votes2","null_votes","blanco_votes","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","national_winner","votes_national_winner"
"Belarus","BLR","Czechia","CZE",2013-10-25,"Legislative",16,16,16,16,NA,NA,NA,5,"Ceska str.socialne demokrat.",5,"TOP 09",2,"Obcanska demokraticka strana",1,"ANO 2011",1,"Strana zelenych",1,"Usvit prime demokr.T.Okamury",1,"Suver.-Strana zdraveho rozumu",0,"Ceska piratska strana",0,"Krest.demokr.unie-Cs.str.lid.",0,"Komunisticka str.Cech a Moravy",0,"Strana svobodnych obcanu",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",5
"Belgium","BEL","Czechia","CZE",2013-10-25,"Legislative",991,750,749,749,NA,NA,NA,270,"TOP 09",170,"Strana zelenych",92,"Krest.demokr.unie-Cs.str.lid.",62,"Ceska str.socialne demokrat.",53,"ANO 2011",50,"Obcanska demokraticka strana",14,"Strana svobodnych obcanu",13,"Ceska piratska strana",9,"Komunisticka str.Cech a Moravy",8,"Usvit prime demokr.T.Okamury",3,"Strana Prav Obcanu ZEMANOVCI",1,"Strana soukromniku CR",1,"Delnic.str.socialni spravedl.",1,"politicke hnuti Zmena",1,"HLAVU VZHURU - volebni blok",1,"Romska demokraticka strana",0,"Suver.-Strana zdraveho rozumu",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",62
"Bosnia","BIH","Czechia","CZE",2013-10-25,"Legislative",31,29,29,29,NA,NA,NA,14,"Strana zelenych",5,"TOP 09",3,"ANO 2011",2,"Ceska str.socialne demokrat.",2,"Obcanska demokraticka strana",2,"Krest.demokr.unie-Cs.str.lid.",1,"politicke hnuti Zmena",0,"Ceska piratska strana",0,"Usvit prime demokr.T.Okamury",0,"Komunisticka str.Cech a Moravy",0,"Strana svobodnych obcanu",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",2
"Brazil","BRA","Czechia","CZE",2013-10-25,"Legislative",159,37,37,37,NA,NA,NA,15,"TOP 09",5,"Ceska str.socialne demokrat.",5,"ANO 2011",3,"Krest.demokr.unie-Cs.str.lid.",3,"Strana zelenych",2,"Usvit prime demokr.T.Okamury",1,"Ceska piratska strana",1,"Obcanska demokraticka strana",1,"Komunisticka str.Cech a Moravy",1,"Strana svobodnych obcanu",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",5
"Bulgaria","BGR","Czechia","CZE",2013-10-25,"Legislative",79,41,41,41,NA,NA,NA,14,"TOP 09",9,"Strana zelenych",4,"Krest.demokr.unie-Cs.str.lid.",4,"ANO 2011",3,"Ceska str.socialne demokrat.",3,"Obcanska demokraticka strana",2,"Komunisticka str.Cech a Moravy",1,"Strana svobodnych obcanu",1,"Delnic.str.socialni spravedl.",0,"Ceska piratska strana",0,"Usvit prime demokr.T.Okamury",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",3
"Canada","CAN","Czechia","CZE",2013-10-25,"Legislative",495,138,137,137,NA,NA,NA,68,"TOP 09",18,"Krest.demokr.unie-Cs.str.lid.",15,"Strana zelenych",10,"Obcanska demokraticka strana",9,"Ceska str.socialne demokrat.",4,"ANO 2011",3,"Usvit prime demokr.T.Okamury",2,"Ceska piratska strana",2,"Strana svobodnych obcanu",2,"HLAVU VZHURU - volebni blok",1,"Strana Prav Obcanu ZEMANOVCI",1,"Delnic.str.socialni spravedl.",1,"politicke hnuti Zmena",1,"Romska demokraticka strana",0,"Komunisticka str.Cech a Moravy",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",9
"Chile","CHL","Czechia","CZE",2013-10-25,"Legislative",31,23,23,23,NA,NA,NA,7,"TOP 09",6,"Ceska str.socialne demokrat.",3,"Krest.demokr.unie-Cs.str.lid.",2,"Obcanska demokraticka strana",2,"Strana svobodnych obcanu",1,"Ceska piratska strana",1,"ANO 2011",1,"Komunisticka str.Cech a Moravy",0,"Strana zelenych",0,"Usvit prime demokr.T.Okamury",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",6
"China","CHN","Czechia","CZE",2013-10-25,"Legislative",257,207,206,206,NA,NA,NA,83,"TOP 09",27,"Obcanska demokraticka strana",21,"ANO 2011",17,"Strana zelenych",15,"Strana svobodnych obcanu",14,"Krest.demokr.unie-Cs.str.lid.",9,"Ceska piratska strana",8,"Ceska str.socialne demokrat.",5,"Usvit prime demokr.T.Okamury",3,"Komunisticka str.Cech a Moravy",2,"Strana Prav Obcanu ZEMANOVCI",1,"Romska demokraticka strana",1,"Koruna Ceska (monarch.strana)",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Aktiv nezavislych obcanu",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",8
"Croatia","HRV","Czechia","CZE",2013-10-25,"Legislative",59,50,50,50,NA,NA,NA,14,"TOP 09",8,"ANO 2011",7,"Krest.demokr.unie-Cs.str.lid.",6,"Strana zelenych",5,"Obcanska demokraticka strana",4,"Ceska str.socialne demokrat.",2,"Usvit prime demokr.T.Okamury",1,"Ceska piratska strana",1,"Strana svobodnych obcanu",1,"Romska demokraticka strana",1,"Koruna Ceska (monarch.strana)",0,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Aktiv nezavislych obcanu",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",4
"Cuba","CUB","Czechia","CZE",2013-10-25,"Legislative",26,22,22,22,NA,NA,NA,10,"TOP 09",3,"Obcanska demokraticka strana",3,"Komunisticka str.Cech a Moravy",2,"Ceska str.socialne demokrat.",1,"Krest.demokr.unie-Cs.str.lid.",1,"ANO 2011",1,"Strana zelenych",1,"Strana svobodnych obcanu",0,"Ceska piratska strana",0,"Usvit prime demokr.T.Okamury",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",2
"Cyprus","CYP","Czechia","CZE",2013-10-25,"Legislative",101,79,79,79,NA,NA,NA,34,"TOP 09",24,"Obcanska demokraticka strana",7,"ANO 2011",4,"Ceska str.socialne demokrat.",3,"Strana zelenych",3,"Strana svobodnych obcanu",1,"Ceska piratska strana",1,"Krest.demokr.unie-Cs.str.lid.",1,"Usvit prime demokr.T.Okamury",1,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",4
"Denmark","DNK","Czechia","CZE",2013-10-25,"Legislative",217,167,164,164,NA,NA,NA,60,"TOP 09",33,"Strana zelenych",13,"Obcanska demokraticka strana",12,"Krest.demokr.unie-Cs.str.lid.",10,"Ceska piratska strana",10,"ANO 2011",8,"Strana svobodnych obcanu",7,"Ceska str.socialne demokrat.",5,"Komunisticka str.Cech a Moravy",3,"Usvit prime demokr.T.Okamury",2,"politicke hnuti Zmena",1,"HLAVU VZHURU - volebni blok",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",7
"Egypt","EGY","Czechia","CZE",2013-10-25,"Legislative",41,38,38,38,NA,NA,NA,11,"TOP 09",10,"ANO 2011",7,"Ceska str.socialne demokrat.",3,"Strana zelenych",2,"Ceska piratska strana",2,"Krest.demokr.unie-Cs.str.lid.",1,"Obcanska demokraticka strana",1,"Usvit prime demokr.T.Okamury",1,"Komunisticka str.Cech a Moravy",0,"Strana svobodnych obcanu",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",7
"Estonia","EST","Czechia","CZE",2013-10-25,"Legislative",38,35,35,35,NA,NA,NA,10,"Strana zelenych",8,"TOP 09",4,"Ceska str.socialne demokrat.",3,"Obcanska demokraticka strana",3,"Krest.demokr.unie-Cs.str.lid.",2,"ANO 2011",2,"Komunisticka str.Cech a Moravy",1,"Ceska piratska strana",1,"Usvit prime demokr.T.Okamury",1,"politicke hnuti Zmena",0,"Strana svobodnych obcanu",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",4
"Ethiopia","ETH","Czechia","CZE",2013-10-25,"Legislative",40,31,31,31,NA,NA,NA,11,"TOP 09",9,"Strana zelenych",3,"Obcanska demokraticka strana",2,"Krest.demokr.unie-Cs.str.lid.",2,"ANO 2011",2,"Strana svobodnych obcanu",1,"Komunisticka str.Cech a Moravy",1,"Strana Prav Obcanu ZEMANOVCI",0,"Ceska str.socialne demokrat.",0,"Ceska piratska strana",0,"Usvit prime demokr.T.Okamury",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"Finland","FIN","Czechia","CZE",2013-10-25,"Legislative",137,103,103,103,NA,NA,NA,34,"TOP 09",26,"Strana zelenych",11,"Obcanska demokraticka strana",8,"Ceska piratska strana",7,"Krest.demokr.unie-Cs.str.lid.",7,"Strana svobodnych obcanu",3,"ANO 2011",2,"Komunisticka str.Cech a Moravy",1,"Ceska str.socialne demokrat.",1,"Usvit prime demokr.T.Okamury",1,"Strana Prav Obcanu ZEMANOVCI",1,"Delnic.str.socialni spravedl.",1,"HLAVU VZHURU - volebni blok",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"politicke hnuti Zmena",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",1
"France","FRA","Czechia","CZE",2013-10-25,"Legislative",918,719,718,718,NA,NA,NA,262,"TOP 09",124,"Strana zelenych",81,"Obcanska demokraticka strana",64,"Krest.demokr.unie-Cs.str.lid.",61,"ANO 2011",45,"Ceska str.socialne demokrat.",31,"Strana svobodnych obcanu",18,"Ceska piratska strana",13,"Komunisticka str.Cech a Moravy",8,"Usvit prime demokr.T.Okamury",5,"Strana Prav Obcanu ZEMANOVCI",2,"politicke hnuti Zmena",2,"Koruna Ceska (monarch.strana)",1,"Suver.-Strana zdraveho rozumu",1,"Delnic.str.socialni spravedl.",0,"Strana soukromniku CR",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",45
"Georgia","GEO","Czechia","CZE",2013-10-25,"Legislative",43,37,37,37,NA,NA,NA,12,"TOP 09",8,"ANO 2011",5,"Ceska str.socialne demokrat.",5,"Strana zelenych",3,"Strana svobodnych obcanu",2,"Krest.demokr.unie-Cs.str.lid.",1,"Ceska piratska strana",1,"Obcanska demokraticka strana",0,"Usvit prime demokr.T.Okamury",0,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",5
"Germany","DEU","Czechia","CZE",2013-10-25,"Legislative",1081,968,960,960,NA,NA,NA,345,"TOP 09",184,"Strana zelenych",123,"Krest.demokr.unie-Cs.str.lid.",89,"Obcanska demokraticka strana",57,"ANO 2011",44,"Ceska str.socialne demokrat.",43,"Strana svobodnych obcanu",30,"Ceska piratska strana",16,"Komunisticka str.Cech a Moravy",10,"Usvit prime demokr.T.Okamury",8,"politicke hnuti Zmena",6,"Strana Prav Obcanu ZEMANOVCI",2,"Koruna Ceska (monarch.strana)",1,"Delnic.str.socialni spravedl.",1,"HLAVU VZHURU - volebni blok",1,"Romska demokraticka strana",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Aktiv nezavislych obcanu",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",44
"Ghana","GHA","Czechia","CZE",2013-10-25,"Legislative",9,8,8,8,NA,NA,NA,3,"ANO 2011",3,"Strana zelenych",1,"Ceska piratska strana",1,"TOP 09",0,"Ceska str.socialne demokrat.",0,"Obcanska demokraticka strana",0,"Krest.demokr.unie-Cs.str.lid.",0,"Usvit prime demokr.T.Okamury",0,"Komunisticka str.Cech a Moravy",0,"Strana svobodnych obcanu",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"Greece","GRC","Czechia","CZE",2013-10-25,"Legislative",63,54,54,54,NA,NA,NA,27,"TOP 09",7,"Ceska str.socialne demokrat.",5,"Obcanska demokraticka strana",4,"ANO 2011",4,"Strana zelenych",3,"Krest.demokr.unie-Cs.str.lid.",2,"Usvit prime demokr.T.Okamury",2,"Komunisticka str.Cech a Moravy",0,"Ceska piratska strana",0,"Strana svobodnych obcanu",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",7
"Hungary","HUN","Czechia","CZE",2013-10-25,"Legislative",343,331,330,330,NA,NA,NA,107,"TOP 09",51,"Strana zelenych",42,"Obcanska demokraticka strana",42,"ANO 2011",25,"Ceska piratska strana",22,"Krest.demokr.unie-Cs.str.lid.",12,"Ceska str.socialne demokrat.",12,"Strana svobodnych obcanu",8,"Usvit prime demokr.T.Okamury",2,"Komunisticka str.Cech a Moravy",2,"politicke hnuti Zmena",2,"HLAVU VZHURU - volebni blok",1,"Strana Prav Obcanu ZEMANOVCI",1,"Koruna Ceska (monarch.strana)",1,"LEV 21-Narodni socialiste",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"NA",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",12
"India","IND","Czechia","CZE",2013-10-25,"Legislative",56,49,49,49,NA,NA,NA,14,"TOP 09",11,"Ceska str.socialne demokrat.",5,"Krest.demokr.unie-Cs.str.lid.",5,"Strana svobodnych obcanu",3,"Obcanska demokraticka strana",3,"ANO 2011",3,"Strana zelenych",2,"Usvit prime demokr.T.Okamury",1,"Ceska piratska strana",1,"Komunisticka str.Cech a Moravy",1,"Delnic.str.socialni spravedl.",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",11
"Indonesia","IDN","Czechia","CZE",2013-10-25,"Legislative",58,33,33,33,NA,NA,NA,13,"TOP 09",6,"ANO 2011",4,"Strana zelenych",2,"Obcanska demokraticka strana",2,"Krest.demokr.unie-Cs.str.lid.",2,"Usvit prime demokr.T.Okamury",2,"Komunisticka str.Cech a Moravy",2,"Strana svobodnych obcanu",0,"Ceska str.socialne demokrat.",0,"Ceska piratska strana",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"Iran","IRN","Czechia","CZE",2013-10-25,"Legislative",13,9,9,9,NA,NA,NA,4,"TOP 09",2,"Obcanska demokraticka strana",2,"Strana zelenych",1,"ANO 2011",0,"Ceska str.socialne demokrat.",0,"Ceska piratska strana",0,"Krest.demokr.unie-Cs.str.lid.",0,"Usvit prime demokr.T.Okamury",0,"Komunisticka str.Cech a Moravy",0,"Strana svobodnych obcanu",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"Iraq","IRQ","Czechia","CZE",2013-10-25,"Legislative",14,12,12,12,NA,NA,NA,3,"TOP 09",3,"ANO 2011",3,"Usvit prime demokr.T.Okamury",1,"Obcanska demokraticka strana",1,"Komunisticka str.Cech a Moravy",1,"Strana svobodnych obcanu",0,"Ceska str.socialne demokrat.",0,"Ceska piratska strana",0,"Krest.demokr.unie-Cs.str.lid.",0,"Strana zelenych",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"Ireland","IRL","Czechia","CZE",2013-10-25,"Legislative",264,191,190,190,NA,NA,NA,88,"TOP 09",19,"Strana zelenych",15,"Obcanska demokraticka strana",15,"Krest.demokr.unie-Cs.str.lid.",14,"ANO 2011",14,"Strana svobodnych obcanu",8,"Komunisticka str.Cech a Moravy",7,"Usvit prime demokr.T.Okamury",5,"Ceska piratska strana",4,"Ceska str.socialne demokrat.",1,"Suver.-Strana zdraveho rozumu",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",4
"Israel","ISR","Czechia","CZE",2013-10-25,"Legislative",249,164,164,164,NA,NA,NA,55,"TOP 09",26,"Krest.demokr.unie-Cs.str.lid.",23,"Obcanska demokraticka strana",21,"Strana zelenych",11,"ANO 2011",10,"Ceska str.socialne demokrat.",9,"Strana svobodnych obcanu",4,"Ceska piratska strana",3,"Komunisticka str.Cech a Moravy",1,"Usvit prime demokr.T.Okamury",1,"Suver.-Strana zdraveho rozumu",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",10
"Italy","ITA","Czechia","CZE",2013-10-25,"Legislative",464,410,406,406,NA,NA,NA,148,"TOP 09",86,"Krest.demokr.unie-Cs.str.lid.",60,"Obcanska demokraticka strana",47,"ANO 2011",22,"Strana zelenych",13,"Ceska str.socialne demokrat.",8,"Strana Prav Obcanu ZEMANOVCI",7,"Usvit prime demokr.T.Okamury",7,"Komunisticka str.Cech a Moravy",6,"Strana svobodnych obcanu",1,"Ceska piratska strana",1,"Koruna Ceska (monarch.strana)",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",13
"Japan","JPN","Czechia","CZE",2013-10-25,"Legislative",178,154,153,153,NA,NA,NA,73,"TOP 09",17,"Strana zelenych",16,"Krest.demokr.unie-Cs.str.lid.",14,"Ceska str.socialne demokrat.",10,"ANO 2011",6,"Obcanska demokraticka strana",5,"Ceska piratska strana",5,"Komunisticka str.Cech a Moravy",5,"Strana svobodnych obcanu",1,"Usvit prime demokr.T.Okamury",1,"Strana soukromniku CR",0,"Strana Prav Obcanu ZEMANOVCI",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"politicke hnuti Zmena",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",14
"Jordan","JOR","Czechia","CZE",2013-10-25,"Legislative",26,19,19,19,NA,NA,NA,6,"Strana zelenych",5,"TOP 09",3,"Komunisticka str.Cech a Moravy",2,"Ceska piratska strana",1,"Ceska str.socialne demokrat.",1,"Strana svobodnych obcanu",1,"politicke hnuti Zmena",0,"Obcanska demokraticka strana",0,"Krest.demokr.unie-Cs.str.lid.",0,"ANO 2011",0,"Usvit prime demokr.T.Okamury",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana soukromniku CR",0,"Suver.-Strana zdraveho rozumu",0,"Delnic.str.socialni spravedl.",0,"HLAVU VZHURU - volebni blok",0,"Romska demokraticka strana",0,"Aktiv nezavislych obcanu",0,"Koruna Ceska (monarch.strana)",0,"NA",0,"LEV 21-Narodni socialiste",NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",1
