"country","country_of_origin","election_date","election_type","registered_voters","total_votes","valid_votes","null_votes","blanco_votes","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","votes_party_26","party_party_26","votes_party_27","party_party_27","votes_party_28","party_party_28","votes_party_29","party_party_29","votes_party_30","party_party_30","votes_party_31","party_party_31","votes_party_32","party_party_32","votes_party_33","party_party_33","votes_party_34","party_party_34","votes_party_35","party_party_35","votes_party_36","party_party_36","votes_party_37","party_party_37","votes_party_38","party_party_38","votes_party_39","party_party_39","votes_party_40","party_party_40","votes_party_41","party_party_41","votes_party_42","party_party_42","votes_party_43","party_party_43","votes_party_44","party_party_44","votes_party_45","party_party_45","national_winner","votes_national_winner"
"Bosnia","Serbia",2016-04-24,"Legislative",668,601,596,NA,NA,5,359,"ALEKSANDAR VUCIC - SERBIA IS WINNING",67,"Dr VOJISLAV SESELJ - SERBIAN RADICAL PARTY",47,"DVERI - DEMOCRATIC PARTY OF SERBIA - SANDA RASKOVIC IVIC - BOSKO OBRADOVIC",43,"IVICA DACIC - ""Socialist Party of Serbia (SPS), United Serbia (JS) - Dragan Markovic Palma""",21,"BORIS TADIC, CEDOMIR JOVANOVIC - ALLIANCE FOR A BETTER SERBIA - Liberal Democratic Party, League of Social Democrats of Vojvodina, Social Democratic Party",20,"MUAMER ZUKORLIC - BOSNIAK DEMOCRATIC COMMUNITY OF SANDZAK",12,"FOR A JUST SERBIA - DEMOCRATIC PARTY (NOVA, DSHV, ZZS)",12,"ENOUGH IS ENOUGH - SASA RADULOVIC",6,"SDA Sandzak - Dr Sulejman Ugljanin",2,"Borko Stefanovic - Serbia for All of Us",2,"IN DEFIANCE - UNITED FOR SERBIA - PEOPLE'S ALLIANCE",1,"For Free Serbia - ZAVETNICI - Milica Djurdjevic",1,"Civic Group FOR THE REVIVAL OF SERBIA - PROF. DR SLOBODAN KOMAZEC",1,"RUSSIAN PARTY - SLOBODAN NIKOLIC",1,"SERBO-RUSSIAN MOVEMENT - SLOBODAN DIMITRIJEVIC",1,"DIALOGUE - YOUTH WITH A STANCE - STANKO DEBELJAKOVIC",0,"Vajdasagi Magyar Szovetseg - Pasztor Istvan - Alliance of Vojvodina Hungarians - Istvan Pasztor",0,"Republican Party - Republicanus part - Nikola Sandulovic",0,"PARTY OF DEMOCRATIC ACTION - ARDITA SINANI PARTIA PER VEPRIM DEMOKRATIK - ARDITA SINANI",0,"GREEN PARTY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALEKSANDAR VUCIC - SERBIA IS WINNING",359
"Canada","Serbia",2016-04-24,"Legislative",214,119,119,NA,NA,0,42,"ENOUGH IS ENOUGH - SASA RADULOVIC",24,"Dr VOJISLAV SESELJ - SERBIAN RADICAL PARTY",17,"DVERI - DEMOCRATIC PARTY OF SERBIA - SANDA RASKOVIC IVIC - BOSKO OBRADOVIC",11,"ALEKSANDAR VUCIC - SERBIA IS WINNING",9,"FOR A JUST SERBIA - DEMOCRATIC PARTY (NOVA, DSHV, ZZS)",7,"IVICA DACIC - ""Socialist Party of Serbia (SPS), United Serbia (JS) - Dragan Markovic Palma""",3,"BORIS TADIC, CEDOMIR JOVANOVIC - ALLIANCE FOR A BETTER SERBIA - Liberal Democratic Party, League of Social Democrats of Vojvodina, Social Democratic Party",3,"Borko Stefanovic - Serbia for All of Us",2,"GREEN PARTY",1,"SERBO-RUSSIAN MOVEMENT - SLOBODAN DIMITRIJEVIC",0,"Vajdasagi Magyar Szovetseg - Pasztor Istvan - Alliance of Vojvodina Hungarians - Istvan Pasztor",0,"MUAMER ZUKORLIC - BOSNIAK DEMOCRATIC COMMUNITY OF SANDZAK",0,"SDA Sandzak - Dr Sulejman Ugljanin",0,"For Free Serbia - ZAVETNICI - Milica Djurdjevic",0,"Civic Group FOR THE REVIVAL OF SERBIA - PROF. DR SLOBODAN KOMAZEC",0,"RUSSIAN PARTY - SLOBODAN NIKOLIC",0,"Republican Party - Republicanus part - Nikola Sandulovic",0,"DIALOGUE - YOUTH WITH A STANCE - STANKO DEBELJAKOVIC",0,"PARTY OF DEMOCRATIC ACTION - ARDITA SINANI PARTIA PER VEPRIM DEMOKRATIK - ARDITA SINANI",0,"IN DEFIANCE - UNITED FOR SERBIA - PEOPLE'S ALLIANCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALEKSANDAR VUCIC - SERBIA IS WINNING",11
"Croatia","Serbia",2016-04-24,"Legislative",193,86,85,NA,NA,1,51,"ALEKSANDAR VUCIC - SERBIA IS WINNING",13,"Dr VOJISLAV SESELJ - SERBIAN RADICAL PARTY",10,"IVICA DACIC - ""Socialist Party of Serbia (SPS), United Serbia (JS) - Dragan Markovic Palma""",8,"DVERI - DEMOCRATIC PARTY OF SERBIA - SANDA RASKOVIC IVIC - BOSKO OBRADOVIC",3,"ENOUGH IS ENOUGH - SASA RADULOVIC",0,"FOR A JUST SERBIA - DEMOCRATIC PARTY (NOVA, DSHV, ZZS)",0,"Vajdasagi Magyar Szovetseg - Pasztor Istvan - Alliance of Vojvodina Hungarians - Istvan Pasztor",0,"BORIS TADIC, CEDOMIR JOVANOVIC - ALLIANCE FOR A BETTER SERBIA - Liberal Democratic Party, League of Social Democrats of Vojvodina, Social Democratic Party",0,"MUAMER ZUKORLIC - BOSNIAK DEMOCRATIC COMMUNITY OF SANDZAK",0,"SDA Sandzak - Dr Sulejman Ugljanin",0,"For Free Serbia - ZAVETNICI - Milica Djurdjevic",0,"Civic Group FOR THE REVIVAL OF SERBIA - PROF. DR SLOBODAN KOMAZEC",0,"RUSSIAN PARTY - SLOBODAN NIKOLIC",0,"Republican Party - Republicanus part - Nikola Sandulovic",0,"SERBO-RUSSIAN MOVEMENT - SLOBODAN DIMITRIJEVIC",0,"Borko Stefanovic - Serbia for All of Us",0,"DIALOGUE - YOUTH WITH A STANCE - STANKO DEBELJAKOVIC",0,"PARTY OF DEMOCRATIC ACTION - ARDITA SINANI PARTIA PER VEPRIM DEMOKRATIK - ARDITA SINANI",0,"GREEN PARTY",0,"IN DEFIANCE - UNITED FOR SERBIA - PEOPLE'S ALLIANCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALEKSANDAR VUCIC - SERBIA IS WINNING",51
"Czechia","Serbia",2016-04-24,"Legislative",157,135,134,NA,NA,1,57,"ALEKSANDAR VUCIC - SERBIA IS WINNING",31,"ENOUGH IS ENOUGH - SASA RADULOVIC",15,"FOR A JUST SERBIA - DEMOCRATIC PARTY (NOVA, DSHV, ZZS)",11,"DVERI - DEMOCRATIC PARTY OF SERBIA - SANDA RASKOVIC IVIC - BOSKO OBRADOVIC",8,"Dr VOJISLAV SESELJ - SERBIAN RADICAL PARTY",4,"BORIS TADIC, CEDOMIR JOVANOVIC - ALLIANCE FOR A BETTER SERBIA - Liberal Democratic Party, League of Social Democrats of Vojvodina, Social Democratic Party",2,"IVICA DACIC - ""Socialist Party of Serbia (SPS), United Serbia (JS) - Dragan Markovic Palma""",2,"For Free Serbia - ZAVETNICI - Milica Djurdjevic",2,"Borko Stefanovic - Serbia for All of Us",1,"Vajdasagi Magyar Szovetseg - Pasztor Istvan - Alliance of Vojvodina Hungarians - Istvan Pasztor",1,"SERBO-RUSSIAN MOVEMENT - SLOBODAN DIMITRIJEVIC",0,"MUAMER ZUKORLIC - BOSNIAK DEMOCRATIC COMMUNITY OF SANDZAK",0,"SDA Sandzak - Dr Sulejman Ugljanin",0,"Civic Group FOR THE REVIVAL OF SERBIA - PROF. DR SLOBODAN KOMAZEC",0,"RUSSIAN PARTY - SLOBODAN NIKOLIC",0,"Republican Party - Republicanus part - Nikola Sandulovic",0,"DIALOGUE - YOUTH WITH A STANCE - STANKO DEBELJAKOVIC",0,"PARTY OF DEMOCRATIC ACTION - ARDITA SINANI PARTIA PER VEPRIM DEMOKRATIK - ARDITA SINANI",0,"GREEN PARTY",0,"IN DEFIANCE - UNITED FOR SERBIA - PEOPLE'S ALLIANCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALEKSANDAR VUCIC - SERBIA IS WINNING",57
"France","Serbia",2016-04-24,"Legislative",456,374,371,NA,NA,3,134,"ALEKSANDAR VUCIC - SERBIA IS WINNING",63,"ENOUGH IS ENOUGH - SASA RADULOVIC",51,"Dr VOJISLAV SESELJ - SERBIAN RADICAL PARTY",25,"MUAMER ZUKORLIC - BOSNIAK DEMOCRATIC COMMUNITY OF SANDZAK",22,"FOR A JUST SERBIA - DEMOCRATIC PARTY (NOVA, DSHV, ZZS)",20,"IVICA DACIC - ""Socialist Party of Serbia (SPS), United Serbia (JS) - Dragan Markovic Palma""",18,"DVERI - DEMOCRATIC PARTY OF SERBIA - SANDA RASKOVIC IVIC - BOSKO OBRADOVIC",16,"BORIS TADIC, CEDOMIR JOVANOVIC - ALLIANCE FOR A BETTER SERBIA - Liberal Democratic Party, League of Social Democrats of Vojvodina, Social Democratic Party",8,"SDA Sandzak - Dr Sulejman Ugljanin",6,"Borko Stefanovic - Serbia for All of Us",4,"For Free Serbia - ZAVETNICI - Milica Djurdjevic",2,"Vajdasagi Magyar Szovetseg - Pasztor Istvan - Alliance of Vojvodina Hungarians - Istvan Pasztor",1,"GREEN PARTY",1,"IN DEFIANCE - UNITED FOR SERBIA - PEOPLE'S ALLIANCE",0,"Civic Group FOR THE REVIVAL OF SERBIA - PROF. DR SLOBODAN KOMAZEC",0,"RUSSIAN PARTY - SLOBODAN NIKOLIC",0,"Republican Party - Republicanus part - Nikola Sandulovic",0,"SERBO-RUSSIAN MOVEMENT - SLOBODAN DIMITRIJEVIC",0,"DIALOGUE - YOUTH WITH A STANCE - STANKO DEBELJAKOVIC",0,"PARTY OF DEMOCRATIC ACTION - ARDITA SINANI PARTIA PER VEPRIM DEMOKRATIK - ARDITA SINANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALEKSANDAR VUCIC - SERBIA IS WINNING",134
"Germany","Serbia",2016-04-24,"Legislative",1822,1430,1424,NA,NA,6,409,"ALEKSANDAR VUCIC - SERBIA IS WINNING",379,"MUAMER ZUKORLIC - BOSNIAK DEMOCRATIC COMMUNITY OF SANDZAK",210,"ENOUGH IS ENOUGH - SASA RADULOVIC",133,"Dr VOJISLAV SESELJ - SERBIAN RADICAL PARTY",81,"DVERI - DEMOCRATIC PARTY OF SERBIA - SANDA RASKOVIC IVIC - BOSKO OBRADOVIC",68,"FOR A JUST SERBIA - DEMOCRATIC PARTY (NOVA, DSHV, ZZS)",54,"IVICA DACIC - ""Socialist Party of Serbia (SPS), United Serbia (JS) - Dragan Markovic Palma""",27,"BORIS TADIC, CEDOMIR JOVANOVIC - ALLIANCE FOR A BETTER SERBIA - Liberal Democratic Party, League of Social Democrats of Vojvodina, Social Democratic Party",19,"For Free Serbia - ZAVETNICI - Milica Djurdjevic",17,"SDA Sandzak - Dr Sulejman Ugljanin",14,"Borko Stefanovic - Serbia for All of Us",4,"IN DEFIANCE - UNITED FOR SERBIA - PEOPLE'S ALLIANCE",3,"GREEN PARTY",2,"Civic Group FOR THE REVIVAL OF SERBIA - PROF. DR SLOBODAN KOMAZEC",2,"DIALOGUE - YOUTH WITH A STANCE - STANKO DEBELJAKOVIC",1,"Vajdasagi Magyar Szovetseg - Pasztor Istvan - Alliance of Vojvodina Hungarians - Istvan Pasztor",1,"RUSSIAN PARTY - SLOBODAN NIKOLIC",0,"Republican Party - Republicanus part - Nikola Sandulovic",0,"SERBO-RUSSIAN MOVEMENT - SLOBODAN DIMITRIJEVIC",0,"PARTY OF DEMOCRATIC ACTION - ARDITA SINANI PARTIA PER VEPRIM DEMOKRATIK - ARDITA SINANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALEKSANDAR VUCIC - SERBIA IS WINNING",409
"Italy","Serbia",2016-04-24,"Legislative",812,420,415,NA,NA,5,190,"ALEKSANDAR VUCIC - SERBIA IS WINNING",52,"ENOUGH IS ENOUGH - SASA RADULOVIC",37,"Dr VOJISLAV SESELJ - SERBIAN RADICAL PARTY",35,"DVERI - DEMOCRATIC PARTY OF SERBIA - SANDA RASKOVIC IVIC - BOSKO OBRADOVIC",33,"FOR A JUST SERBIA - DEMOCRATIC PARTY (NOVA, DSHV, ZZS)",22,"BORIS TADIC, CEDOMIR JOVANOVIC - ALLIANCE FOR A BETTER SERBIA - Liberal Democratic Party, League of Social Democrats of Vojvodina, Social Democratic Party",17,"IVICA DACIC - ""Socialist Party of Serbia (SPS), United Serbia (JS) - Dragan Markovic Palma""",11,"For Free Serbia - ZAVETNICI - Milica Djurdjevic",7,"Borko Stefanovic - Serbia for All of Us",5,"DIALOGUE - YOUTH WITH A STANCE - STANKO DEBELJAKOVIC",3,"Civic Group FOR THE REVIVAL OF SERBIA - PROF. DR SLOBODAN KOMAZEC",2,"SERBO-RUSSIAN MOVEMENT - SLOBODAN DIMITRIJEVIC",1,"GREEN PARTY",0,"Vajdasagi Magyar Szovetseg - Pasztor Istvan - Alliance of Vojvodina Hungarians - Istvan Pasztor",0,"MUAMER ZUKORLIC - BOSNIAK DEMOCRATIC COMMUNITY OF SANDZAK",0,"SDA Sandzak - Dr Sulejman Ugljanin",0,"RUSSIAN PARTY - SLOBODAN NIKOLIC",0,"Republican Party - Republicanus part - Nikola Sandulovic",0,"PARTY OF DEMOCRATIC ACTION - ARDITA SINANI PARTIA PER VEPRIM DEMOKRATIK - ARDITA SINANI",0,"IN DEFIANCE - UNITED FOR SERBIA - PEOPLE'S ALLIANCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALEKSANDAR VUCIC - SERBIA IS WINNING",190
"Montenegro","Serbia",2016-04-24,"Legislative",686,361,357,NA,NA,4,206,"ALEKSANDAR VUCIC - SERBIA IS WINNING",52,"Dr VOJISLAV SESELJ - SERBIAN RADICAL PARTY",26,"DVERI - DEMOCRATIC PARTY OF SERBIA - SANDA RASKOVIC IVIC - BOSKO OBRADOVIC",22,"IVICA DACIC - ""Socialist Party of Serbia (SPS), United Serbia (JS) - Dragan Markovic Palma""",22,"ENOUGH IS ENOUGH - SASA RADULOVIC",16,"FOR A JUST SERBIA - DEMOCRATIC PARTY (NOVA, DSHV, ZZS)",4,"BORIS TADIC, CEDOMIR JOVANOVIC - ALLIANCE FOR A BETTER SERBIA - Liberal Democratic Party, League of Social Democrats of Vojvodina, Social Democratic Party",4,"IN DEFIANCE - UNITED FOR SERBIA - PEOPLE'S ALLIANCE",2,"For Free Serbia - ZAVETNICI - Milica Djurdjevic",1,"MUAMER ZUKORLIC - BOSNIAK DEMOCRATIC COMMUNITY OF SANDZAK",1,"Borko Stefanovic - Serbia for All of Us",1,"GREEN PARTY",0,"Vajdasagi Magyar Szovetseg - Pasztor Istvan - Alliance of Vojvodina Hungarians - Istvan Pasztor",0,"SDA Sandzak - Dr Sulejman Ugljanin",0,"Civic Group FOR THE REVIVAL OF SERBIA - PROF. DR SLOBODAN KOMAZEC",0,"RUSSIAN PARTY - SLOBODAN NIKOLIC",0,"Republican Party - Republicanus part - Nikola Sandulovic",0,"SERBO-RUSSIAN MOVEMENT - SLOBODAN DIMITRIJEVIC",0,"DIALOGUE - YOUTH WITH A STANCE - STANKO DEBELJAKOVIC",0,"PARTY OF DEMOCRATIC ACTION - ARDITA SINANI PARTIA PER VEPRIM DEMOKRATIK - ARDITA SINANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALEKSANDAR VUCIC - SERBIA IS WINNING",206
"Netherlands","Serbia",2016-04-24,"Legislative",187,158,156,NA,NA,2,66,"ENOUGH IS ENOUGH - SASA RADULOVIC",28,"ALEKSANDAR VUCIC - SERBIA IS WINNING",20,"DVERI - DEMOCRATIC PARTY OF SERBIA - SANDA RASKOVIC IVIC - BOSKO OBRADOVIC",17,"FOR A JUST SERBIA - DEMOCRATIC PARTY (NOVA, DSHV, ZZS)",7,"Dr VOJISLAV SESELJ - SERBIAN RADICAL PARTY",6,"BORIS TADIC, CEDOMIR JOVANOVIC - ALLIANCE FOR A BETTER SERBIA - Liberal Democratic Party, League of Social Democrats of Vojvodina, Social Democratic Party",4,"GREEN PARTY",3,"Borko Stefanovic - Serbia for All of Us",2,"DIALOGUE - YOUTH WITH A STANCE - STANKO DEBELJAKOVIC",1,"MUAMER ZUKORLIC - BOSNIAK DEMOCRATIC COMMUNITY OF SANDZAK",1,"RUSSIAN PARTY - SLOBODAN NIKOLIC",1,"SERBO-RUSSIAN MOVEMENT - SLOBODAN DIMITRIJEVIC",0,"IVICA DACIC - ""Socialist Party of Serbia (SPS), United Serbia (JS) - Dragan Markovic Palma""",0,"Vajdasagi Magyar Szovetseg - Pasztor Istvan - Alliance of Vojvodina Hungarians - Istvan Pasztor",0,"SDA Sandzak - Dr Sulejman Ugljanin",0,"For Free Serbia - ZAVETNICI - Milica Djurdjevic",0,"Civic Group FOR THE REVIVAL OF SERBIA - PROF. DR SLOBODAN KOMAZEC",0,"Republican Party - Republicanus part - Nikola Sandulovic",0,"PARTY OF DEMOCRATIC ACTION - ARDITA SINANI PARTIA PER VEPRIM DEMOKRATIK - ARDITA SINANI",0,"IN DEFIANCE - UNITED FOR SERBIA - PEOPLE'S ALLIANCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALEKSANDAR VUCIC - SERBIA IS WINNING",28
"North Macedonia","Serbia",2016-04-24,"Legislative",147,130,128,NA,NA,2,48,"ALEKSANDAR VUCIC - SERBIA IS WINNING",22,"IVICA DACIC - ""Socialist Party of Serbia (SPS), United Serbia (JS) - Dragan Markovic Palma""",22,"Dr VOJISLAV SESELJ - SERBIAN RADICAL PARTY",16,"DVERI - DEMOCRATIC PARTY OF SERBIA - SANDA RASKOVIC IVIC - BOSKO OBRADOVIC",9,"BORIS TADIC, CEDOMIR JOVANOVIC - ALLIANCE FOR A BETTER SERBIA - Liberal Democratic Party, League of Social Democrats of Vojvodina, Social Democratic Party",5,"Borko Stefanovic - Serbia for All of Us",3,"ENOUGH IS ENOUGH - SASA RADULOVIC",1,"FOR A JUST SERBIA - DEMOCRATIC PARTY (NOVA, DSHV, ZZS)",1,"SERBO-RUSSIAN MOVEMENT - SLOBODAN DIMITRIJEVIC",1,"GREEN PARTY",0,"Vajdasagi Magyar Szovetseg - Pasztor Istvan - Alliance of Vojvodina Hungarians - Istvan Pasztor",0,"MUAMER ZUKORLIC - BOSNIAK DEMOCRATIC COMMUNITY OF SANDZAK",0,"SDA Sandzak - Dr Sulejman Ugljanin",0,"For Free Serbia - ZAVETNICI - Milica Djurdjevic",0,"Civic Group FOR THE REVIVAL OF SERBIA - PROF. DR SLOBODAN KOMAZEC",0,"RUSSIAN PARTY - SLOBODAN NIKOLIC",0,"Republican Party - Republicanus part - Nikola Sandulovic",0,"DIALOGUE - YOUTH WITH A STANCE - STANKO DEBELJAKOVIC",0,"PARTY OF DEMOCRATIC ACTION - ARDITA SINANI PARTIA PER VEPRIM DEMOKRATIK - ARDITA SINANI",0,"IN DEFIANCE - UNITED FOR SERBIA - PEOPLE'S ALLIANCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALEKSANDAR VUCIC - SERBIA IS WINNING",48
"Romania","Serbia",2016-04-24,"Legislative",150,54,54,NA,NA,0,13,"DVERI - DEMOCRATIC PARTY OF SERBIA - SANDA RASKOVIC IVIC - BOSKO OBRADOVIC",9,"Dr VOJISLAV SESELJ - SERBIAN RADICAL PARTY",8,"ALEKSANDAR VUCIC - SERBIA IS WINNING",8,"FOR A JUST SERBIA - DEMOCRATIC PARTY (NOVA, DSHV, ZZS)",8,"BORIS TADIC, CEDOMIR JOVANOVIC - ALLIANCE FOR A BETTER SERBIA - Liberal Democratic Party, League of Social Democrats of Vojvodina, Social Democratic Party",3,"IVICA DACIC - ""Socialist Party of Serbia (SPS), United Serbia (JS) - Dragan Markovic Palma""",2,"For Free Serbia - ZAVETNICI - Milica Djurdjevic",1,"SERBO-RUSSIAN MOVEMENT - SLOBODAN DIMITRIJEVIC",1,"ENOUGH IS ENOUGH - SASA RADULOVIC",1,"GREEN PARTY",0,"Vajdasagi Magyar Szovetseg - Pasztor Istvan - Alliance of Vojvodina Hungarians - Istvan Pasztor",0,"MUAMER ZUKORLIC - BOSNIAK DEMOCRATIC COMMUNITY OF SANDZAK",0,"SDA Sandzak - Dr Sulejman Ugljanin",0,"Civic Group FOR THE REVIVAL OF SERBIA - PROF. DR SLOBODAN KOMAZEC",0,"RUSSIAN PARTY - SLOBODAN NIKOLIC",0,"Republican Party - Republicanus part - Nikola Sandulovic",0,"Borko Stefanovic - Serbia for All of Us",0,"DIALOGUE - YOUTH WITH A STANCE - STANKO DEBELJAKOVIC",0,"PARTY OF DEMOCRATIC ACTION - ARDITA SINANI PARTIA PER VEPRIM DEMOKRATIK - ARDITA SINANI",0,"IN DEFIANCE - UNITED FOR SERBIA - PEOPLE'S ALLIANCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALEKSANDAR VUCIC - SERBIA IS WINNING",8
"Russia","Serbia",2016-04-24,"Legislative",191,164,162,NA,NA,2,37,"Dr VOJISLAV SESELJ - SERBIAN RADICAL PARTY",31,"DVERI - DEMOCRATIC PARTY OF SERBIA - SANDA RASKOVIC IVIC - BOSKO OBRADOVIC",28,"ALEKSANDAR VUCIC - SERBIA IS WINNING",27,"ENOUGH IS ENOUGH - SASA RADULOVIC",18,"IVICA DACIC - ""Socialist Party of Serbia (SPS), United Serbia (JS) - Dragan Markovic Palma""",8,"SERBO-RUSSIAN MOVEMENT - SLOBODAN DIMITRIJEVIC",3,"For Free Serbia - ZAVETNICI - Milica Djurdjevic",3,"GREEN PARTY",2,"FOR A JUST SERBIA - DEMOCRATIC PARTY (NOVA, DSHV, ZZS)",2,"BORIS TADIC, CEDOMIR JOVANOVIC - ALLIANCE FOR A BETTER SERBIA - Liberal Democratic Party, League of Social Democrats of Vojvodina, Social Democratic Party",2,"Borko Stefanovic - Serbia for All of Us",1,"IN DEFIANCE - UNITED FOR SERBIA - PEOPLE'S ALLIANCE",0,"Vajdasagi Magyar Szovetseg - Pasztor Istvan - Alliance of Vojvodina Hungarians - Istvan Pasztor",0,"MUAMER ZUKORLIC - BOSNIAK DEMOCRATIC COMMUNITY OF SANDZAK",0,"SDA Sandzak - Dr Sulejman Ugljanin",0,"Civic Group FOR THE REVIVAL OF SERBIA - PROF. DR SLOBODAN KOMAZEC",0,"RUSSIAN PARTY - SLOBODAN NIKOLIC",0,"Republican Party - Republicanus part - Nikola Sandulovic",0,"DIALOGUE - YOUTH WITH A STANCE - STANKO DEBELJAKOVIC",0,"PARTY OF DEMOCRATIC ACTION - ARDITA SINANI PARTIA PER VEPRIM DEMOKRATIK - ARDITA SINANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALEKSANDAR VUCIC - SERBIA IS WINNING",28
