"country_of_residence","cor_iso3","country_of_origin","coo_iso3","election_date","election_type","registered_voters","total_votes","valid_votes","valid_votes2","null_votes","blanco_votes","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","votes_party_26","party_party_26","votes_party_27","party_party_27","votes_party_28","party_party_28","votes_party_29","party_party_29","votes_party_30","party_party_30","votes_party_31","party_party_31","votes_party_32","party_party_32","votes_party_33","party_party_33","votes_party_34","party_party_34","votes_party_35","party_party_35","votes_party_36","party_party_36","votes_party_37","party_party_37","votes_party_38","party_party_38","votes_party_39","party_party_39","votes_party_40","party_party_40","votes_party_41","party_party_41","votes_party_42","party_party_42","votes_party_43","party_party_43","votes_party_44","party_party_44","votes_party_45","party_party_45","votes_party_46","party_party_46","votes_party_47","party_party_47","votes_party_48","party_party_48","votes_party_49","party_party_49","votes_party_50","party_party_50","votes_party_51","party_party_51","votes_party_52","party_party_52","votes_party_53","party_party_53","votes_party_54","party_party_54","votes_party_55","party_party_55","national_winner","votes_national_winner","unmarked_votes"
"Germany","DEU","Romania","ROU",2000-11-26,"Presidential",NA,1709,1694,1694,15,NA,NA,819,"CONSTANTIN MUGUREL ISARESCU",312,"THEODOR DUMITRU STOLOJAN",187,"ION ILIESCU",175,"CORNELIU VADIM TUDOR",85,"GYORGY FRUNDA",71,"PETRE ROMAN",28,"TEODOR VIOREL MELESCANU",9,"GHEORGHE EDUARD MANOLE",5,"GRAZIELA-ELENA BIRLA",2,"PAUL-PHILIPPE HOHENZOLLERN",1,"NICULAE CERVENI",0,"ION SASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ION ILIESCU",187,NA
"Greece","GRC","Romania","ROU",2000-11-26,"Presidential",NA,1044,1035,1035,9,NA,NA,397,"CONSTANTIN MUGUREL ISARESCU",221,"THEODOR DUMITRU STOLOJAN",204,"ION ILIESCU",114,"CORNELIU VADIM TUDOR",42,"PETRE ROMAN",19,"TEODOR VIOREL MELESCANU",12,"GHEORGHE EDUARD MANOLE",10,"GRAZIELA-ELENA BIRLA",5,"GYORGY FRUNDA",5,"NICULAE CERVENI",4,"PAUL-PHILIPPE HOHENZOLLERN",2,"ION SASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ION ILIESCU",204,NA
"India","IND","Romania","ROU",2000-11-26,"Presidential",NA,32,32,32,0,NA,NA,16,"CONSTANTIN MUGUREL ISARESCU",8,"ION ILIESCU",4,"THEODOR DUMITRU STOLOJAN",3,"CORNELIU VADIM TUDOR",1,"TEODOR VIOREL MELESCANU",0,"GRAZIELA-ELENA BIRLA",0,"PETRE ROMAN",0,"GYORGY FRUNDA",0,"GHEORGHE EDUARD MANOLE",0,"NICULAE CERVENI",0,"PAUL-PHILIPPE HOHENZOLLERN",0,"ION SASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ION ILIESCU",8,NA
"Indonesia","IDN","Romania","ROU",2000-11-26,"Presidential",NA,22,22,22,0,NA,NA,7,"THEODOR DUMITRU STOLOJAN",6,"CORNELIU VADIM TUDOR",5,"ION ILIESCU",2,"CONSTANTIN MUGUREL ISARESCU",2,"PETRE ROMAN",0,"GRAZIELA-ELENA BIRLA",0,"TEODOR VIOREL MELESCANU",0,"GYORGY FRUNDA",0,"GHEORGHE EDUARD MANOLE",0,"NICULAE CERVENI",0,"PAUL-PHILIPPE HOHENZOLLERN",0,"ION SASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ION ILIESCU",5,NA
"Jordan","JOR","Romania","ROU",2000-11-26,"Presidential",NA,226,226,226,0,NA,NA,61,"ION ILIESCU",56,"CORNELIU VADIM TUDOR",49,"CONSTANTIN MUGUREL ISARESCU",24,"THEODOR DUMITRU STOLOJAN",20,"PETRE ROMAN",5,"TEODOR VIOREL MELESCANU",5,"GYORGY FRUNDA",4,"ION SASU",1,"GHEORGHE EDUARD MANOLE",1,"NICULAE CERVENI",0,"GRAZIELA-ELENA BIRLA",0,"PAUL-PHILIPPE HOHENZOLLERN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ION ILIESCU",61,NA
"Iraq","IRQ","Romania","ROU",2000-11-26,"Presidential",NA,30,30,30,0,NA,NA,9,"THEODOR DUMITRU STOLOJAN",7,"CONSTANTIN MUGUREL ISARESCU",5,"ION ILIESCU",4,"CORNELIU VADIM TUDOR",2,"GYORGY FRUNDA",1,"TEODOR VIOREL MELESCANU",1,"PETRE ROMAN",1,"NICULAE CERVENI",0,"GRAZIELA-ELENA BIRLA",0,"GHEORGHE EDUARD MANOLE",0,"PAUL-PHILIPPE HOHENZOLLERN",0,"ION SASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ION ILIESCU",5,NA
"Iran","IRN","Romania","ROU",2000-11-26,"Presidential",NA,39,39,39,0,NA,NA,16,"ION ILIESCU",10,"CONSTANTIN MUGUREL ISARESCU",6,"THEODOR DUMITRU STOLOJAN",3,"CORNELIU VADIM TUDOR",2,"TEODOR VIOREL MELESCANU",1,"GRAZIELA-ELENA BIRLA",1,"PETRE ROMAN",0,"GYORGY FRUNDA",0,"GHEORGHE EDUARD MANOLE",0,"NICULAE CERVENI",0,"PAUL-PHILIPPE HOHENZOLLERN",0,"ION SASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ION ILIESCU",16,NA
"Ireland","IRL","Romania","ROU",2000-11-26,"Presidential",NA,150,149,149,1,NA,NA,67,"CONSTANTIN MUGUREL ISARESCU",48,"THEODOR DUMITRU STOLOJAN",17,"ION ILIESCU",7,"CORNELIU VADIM TUDOR",4,"GYORGY FRUNDA",3,"PETRE ROMAN",2,"PAUL-PHILIPPE HOHENZOLLERN",1,"NICULAE CERVENI",0,"GRAZIELA-ELENA BIRLA",0,"TEODOR VIOREL MELESCANU",0,"GHEORGHE EDUARD MANOLE",0,"ION SASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ION ILIESCU",17,NA
"Israel","ISR","Romania","ROU",2000-11-26,"Presidential",NA,4325,4277,4277,42,NA,NA,1075,"THEODOR DUMITRU STOLOJAN",941,"CONSTANTIN MUGUREL ISARESCU",844,"CORNELIU VADIM TUDOR",797,"ION ILIESCU",354,"PETRE ROMAN",88,"TEODOR VIOREL MELESCANU",88,"GYORGY FRUNDA",22,"GHEORGHE EDUARD MANOLE",22,"NICULAE CERVENI",21,"PAUL-PHILIPPE HOHENZOLLERN",19,"GRAZIELA-ELENA BIRLA",6,"ION SASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ION ILIESCU",797,NA
"Italy","ITA","Romania","ROU",2000-11-26,"Presidential",NA,1268,1267,1267,1,NA,NA,511,"CONSTANTIN MUGUREL ISARESCU",302,"THEODOR DUMITRU STOLOJAN",159,"ION ILIESCU",155,"CORNELIU VADIM TUDOR",73,"PETRE ROMAN",29,"TEODOR VIOREL MELESCANU",13,"PAUL-PHILIPPE HOHENZOLLERN",12,"GYORGY FRUNDA",5,"GRAZIELA-ELENA BIRLA",5,"NICULAE CERVENI",2,"GHEORGHE EDUARD MANOLE",1,"ION SASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ION ILIESCU",159,NA
"Yugoslavia",NA,"Romania","ROU",2000-11-26,"Presidential",NA,63,63,63,0,NA,NA,19,"ION ILIESCU",17,"CONSTANTIN MUGUREL ISARESCU",13,"CORNELIU VADIM TUDOR",9,"THEODOR DUMITRU STOLOJAN",2,"TEODOR VIOREL MELESCANU",2,"PETRE ROMAN",1,"GYORGY FRUNDA",0,"GRAZIELA-ELENA BIRLA",0,"GHEORGHE EDUARD MANOLE",0,"NICULAE CERVENI",0,"PAUL-PHILIPPE HOHENZOLLERN",0,"ION SASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ION ILIESCU",19,NA
"Japan","JPN","Romania","ROU",2000-11-26,"Presidential",NA,100,100,100,0,NA,NA,54,"CONSTANTIN MUGUREL ISARESCU",18,"THEODOR DUMITRU STOLOJAN",16,"ION ILIESCU",5,"PETRE ROMAN",3,"CORNELIU VADIM TUDOR",2,"TEODOR VIOREL MELESCANU",2,"GHEORGHE EDUARD MANOLE",0,"GRAZIELA-ELENA BIRLA",0,"GYORGY FRUNDA",0,"NICULAE CERVENI",0,"PAUL-PHILIPPE HOHENZOLLERN",0,"ION SASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ION ILIESCU",16,NA
"Kazakhstan","KAZ","Romania","ROU",2000-11-26,"Presidential",NA,42,42,42,0,NA,NA,12,"CONSTANTIN MUGUREL ISARESCU",12,"ION ILIESCU",8,"CORNELIU VADIM TUDOR",7,"THEODOR DUMITRU STOLOJAN",3,"PETRE ROMAN",0,"GRAZIELA-ELENA BIRLA",0,"TEODOR VIOREL MELESCANU",0,"GYORGY FRUNDA",0,"GHEORGHE EDUARD MANOLE",0,"NICULAE CERVENI",0,"PAUL-PHILIPPE HOHENZOLLERN",0,"ION SASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ION ILIESCU",12,NA
"Kenya","KEN","Romania","ROU",2000-11-26,"Presidential",NA,11,11,11,0,NA,NA,4,"CONSTANTIN MUGUREL ISARESCU",4,"THEODOR DUMITRU STOLOJAN",2,"ION ILIESCU",1,"TEODOR VIOREL MELESCANU",0,"CORNELIU VADIM TUDOR",0,"GRAZIELA-ELENA BIRLA",0,"PETRE ROMAN",0,"GYORGY FRUNDA",0,"GHEORGHE EDUARD MANOLE",0,"NICULAE CERVENI",0,"PAUL-PHILIPPE HOHENZOLLERN",0,"ION SASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ION ILIESCU",2,NA
"Kuwait","KWT","Romania","ROU",2000-11-26,"Presidential",NA,228,219,219,9,NA,NA,59,"THEODOR DUMITRU STOLOJAN",49,"CONSTANTIN MUGUREL ISARESCU",39,"CORNELIU VADIM TUDOR",36,"ION ILIESCU",17,"PETRE ROMAN",6,"GRAZIELA-ELENA BIRLA",6,"GHEORGHE EDUARD MANOLE",4,"TEODOR VIOREL MELESCANU",1,"GYORGY FRUNDA",1,"NICULAE CERVENI",1,"ION SASU",0,"PAUL-PHILIPPE HOHENZOLLERN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ION ILIESCU",36,NA
"Lebanon","LBN","Romania","ROU",2000-11-26,"Presidential",NA,139,138,138,1,NA,NA,64,"ION ILIESCU",26,"CORNELIU VADIM TUDOR",23,"CONSTANTIN MUGUREL ISARESCU",17,"THEODOR DUMITRU STOLOJAN",4,"TEODOR VIOREL MELESCANU",2,"GRAZIELA-ELENA BIRLA",1,"PETRE ROMAN",1,"PAUL-PHILIPPE HOHENZOLLERN",0,"GYORGY FRUNDA",0,"GHEORGHE EDUARD MANOLE",0,"NICULAE CERVENI",0,"ION SASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ION ILIESCU",64,NA
"Libya","LBY","Romania","ROU",2000-11-26,"Presidential",NA,200,197,197,3,NA,NA,57,"CORNELIU VADIM TUDOR",43,"CONSTANTIN MUGUREL ISARESCU",39,"ION ILIESCU",39,"THEODOR DUMITRU STOLOJAN",8,"GRAZIELA-ELENA BIRLA",7,"PETRE ROMAN",2,"GHEORGHE EDUARD MANOLE",1,"TEODOR VIOREL MELESCANU",1,"NICULAE CERVENI",0,"GYORGY FRUNDA",0,"PAUL-PHILIPPE HOHENZOLLERN",0,"ION SASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ION ILIESCU",39,NA
"Luxembourg","LUX","Romania","ROU",2000-11-26,"Presidential",NA,123,123,123,0,NA,NA,55,"CONSTANTIN MUGUREL ISARESCU",27,"THEODOR DUMITRU STOLOJAN",13,"PETRE ROMAN",11,"ION ILIESCU",6,"CORNELIU VADIM TUDOR",4,"TEODOR VIOREL MELESCANU",3,"GYORGY FRUNDA",2,"GRAZIELA-ELENA BIRLA",1,"GHEORGHE EDUARD MANOLE",1,"ION SASU",0,"NICULAE CERVENI",0,"PAUL-PHILIPPE HOHENZOLLERN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ION ILIESCU",11,NA
"North Macedonia","MKD","Romania","ROU",2000-11-26,"Presidential",NA,73,73,73,0,NA,NA,23,"THEODOR DUMITRU STOLOJAN",19,"CONSTANTIN MUGUREL ISARESCU",18,"ION ILIESCU",8,"CORNELIU VADIM TUDOR",3,"TEODOR VIOREL MELESCANU",1,"PETRE ROMAN",1,"GHEORGHE EDUARD MANOLE",0,"GRAZIELA-ELENA BIRLA",0,"GYORGY FRUNDA",0,"NICULAE CERVENI",0,"PAUL-PHILIPPE HOHENZOLLERN",0,"ION SASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ION ILIESCU",18,NA
"Malaysia","MYS","Romania","ROU",2000-11-26,"Presidential",NA,23,23,23,0,NA,NA,10,"ION ILIESCU",5,"CONSTANTIN MUGUREL ISARESCU",4,"THEODOR DUMITRU STOLOJAN",2,"CORNELIU VADIM TUDOR",2,"PETRE ROMAN",0,"GRAZIELA-ELENA BIRLA",0,"TEODOR VIOREL MELESCANU",0,"GYORGY FRUNDA",0,"GHEORGHE EDUARD MANOLE",0,"NICULAE CERVENI",0,"PAUL-PHILIPPE HOHENZOLLERN",0,"ION SASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ION ILIESCU",10,NA
"UK","GBR","Romania","ROU",2000-11-26,"Presidential",NA,616,616,616,0,NA,NA,308,"CONSTANTIN MUGUREL ISARESCU",167,"THEODOR DUMITRU STOLOJAN",54,"ION ILIESCU",35,"CORNELIU VADIM TUDOR",26,"PETRE ROMAN",10,"GYORGY FRUNDA",5,"TEODOR VIOREL MELESCANU",4,"GHEORGHE EDUARD MANOLE",3,"NICULAE CERVENI",3,"PAUL-PHILIPPE HOHENZOLLERN",1,"GRAZIELA-ELENA BIRLA",0,"ION SASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ION ILIESCU",54,NA
"Morocco","MAR","Romania","ROU",2000-11-26,"Presidential",NA,174,174,174,0,NA,NA,50,"THEODOR DUMITRU STOLOJAN",48,"CONSTANTIN MUGUREL ISARESCU",32,"CORNELIU VADIM TUDOR",29,"ION ILIESCU",5,"TEODOR VIOREL MELESCANU",4,"GHEORGHE EDUARD MANOLE",3,"PETRE ROMAN",1,"GRAZIELA-ELENA BIRLA",1,"GYORGY FRUNDA",1,"NICULAE CERVENI",0,"PAUL-PHILIPPE HOHENZOLLERN",0,"ION SASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ION ILIESCU",29,NA
"Mexico","MEX","Romania","ROU",2000-11-26,"Presidential",NA,75,75,75,0,NA,NA,26,"ION ILIESCU",17,"PETRE ROMAN",13,"CONSTANTIN MUGUREL ISARESCU",12,"THEODOR DUMITRU STOLOJAN",2,"CORNELIU VADIM TUDOR",2,"TEODOR VIOREL MELESCANU",2,"GYORGY FRUNDA",1,"GRAZIELA-ELENA BIRLA",0,"GHEORGHE EDUARD MANOLE",0,"NICULAE CERVENI",0,"PAUL-PHILIPPE HOHENZOLLERN",0,"ION SASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ION ILIESCU",26,NA
"Moldova","MDA","Romania","ROU",2000-11-26,"Presidential",NA,1280,1270,1270,10,NA,NA,325,"CONSTANTIN MUGUREL ISARESCU",305,"CORNELIU VADIM TUDOR",282,"THEODOR DUMITRU STOLOJAN",233,"ION ILIESCU",73,"PETRE ROMAN",17,"TEODOR VIOREL MELESCANU",14,"GHEORGHE EDUARD MANOLE",12,"PAUL-PHILIPPE HOHENZOLLERN",5,"NICULAE CERVENI",3,"GYORGY FRUNDA",1,"GRAZIELA-ELENA BIRLA",0,"ION SASU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ION ILIESCU",233,NA
